"","seed","up_fdr","down_fdr","up_complement_OR","up_complement_P","down_synGO_OR","down_synGO_P"
"203","HMGB3",2007,1378,0.590238349678582,0.770403749543185,0.861288438608197,0.362155640912333
"204","NUP160",4920,4974,2.60662573565001,0.004709872755016,4.01971194362931,1.48156941443774e-96
"205","BAK1",1883,1454,0.308321114576451,0.368056860079764,3.44312230958331,5.4514741644238e-35
"206","IKZF2",5078,5975,6.00170875842774,1.69201258676953e-08,3.34693565111809,5.53983086700311e-76
"207","GRN",3868,3700,3.85404482372175,5.76223549258635e-05,1.24575935617779,0.0103627003162245
"208","FAM13B",3012,1683,0.183638222322776,0.0558097040099069,1.08869220957966,0.482912960660918
"209","ARHGAP31",3797,4895,3.5637918572517,0.000176716202147547,3.70597859089504,1.92518405441566e-84
"210","NR2E3",1,0,0,1,0,1
"211","CENPQ",3971,3948,1.94614469029253,0.0824508065713061,5.03872744522456,6.12627925789737e-123
"212","SARS",4612,2886,0.228626800723919,0.0247222944763179,1.35038516015122,0.00115108798890347
"213","RANBP3",4872,4310,0.713004680789657,0.556099795091852,1.18753620616559,0.0346828751440615
"214","ARID4A",2558,2053,0.696000459080392,0.795366451512331,3.22799189173983,7.21639635289255e-40
"215","TSSC1",4072,2530,0.408644838718185,0.141184376778214,1.09000746711049,0.396796592479834
"216","PNPLA6",5124,4999,0.423156517544047,0.119538749941812,0.890287419387323,0.163165725509504
"217","IFT88",4249,4315,0.841982710206333,0.83675933746198,4.42418318028736,7.13003815321073e-106
"218","ALG1",1086,355,0,0.423981480617897,0.893332493935101,0.787650142449106
"219","ZCCHC8",1664,1746,0,0.1118990279868,6.43950207373856,1.50052701593603e-110
"220","ABCF2",4315,2896,0.247757665986167,0.0368111480252372,0.941258614220792,0.583204169538728
"221","CHPF2",5057,4763,0.430171605495914,0.119235304707816,0.986325834384435,0.903069835579303
"222","LRRC7",4746,3885,0.339438858461538,0.0706904472944882,0.781951745281519,0.00931975246538271
"223","FUT8",4610,4783,0.762880791197128,0.687962937785975,4.15457928986221,3.78927673354051e-100
"224","UBA6",4798,4928,0.726593669381081,0.556653995034184,3.36595863908244,1.01467615049418e-71
"225","GAB2",2277,2715,0.514736346614636,0.582258818017116,2.16047115733811,5.26927476404879e-19
"226","ATP6V0A1",5798,5396,0.463855635562572,0.136826349883235,0.862018123965907,0.068581366681537
"227","PIAS1",3148,2340,1.43513053891727,0.347454120964757,1.15535597887649,0.170103716484619
"228","SLC4A7",4571,3453,0.355579105335186,0.102158407128543,2.12436816366904,2.70315859707712e-21
"229","APBA2",6248,5225,0.327938305346038,0.0287918384759727,0.84659665138384,0.0454972558962648
"230","UHRF1",3542,3904,5.71859180345627,1.37606408025697e-07,4.48759180287455,8.86984603578272e-104
"231","MAP2K3",2471,1763,2.21702314913632,0.0584705982152336,0.715103873692268,0.0175638504389442
"232","EFCAB1",2,1,0,1,0,1
"233","TMSB10",3682,1910,0.145856228275901,0.0245926906322321,1.1194979900738,0.335551401163654
"234","ASTE1",540,678,1.13728402165876,0.590214641555297,2.09300812613621,2.82578816438635e-06
"235","RNF19A",4686,3740,2.01494840933279,0.0433109671458767,3.74183736642038,3.19370935094883e-76
"236","PEX3",3032,2597,0.575256879283945,0.474839129975147,2.78092653367672,2.90067318443907e-34
"237","GABARAPL2",2297,2145,2.04203183713,0.0962350258234339,2.26071321080121,3.25644189993891e-18
"238","SH3YL1",661,461,0,0.628548265420035,1.12583694132309,0.552621228047953
"239","FAM136A",3777,2841,0.290305435502297,0.0790448758568787,0.872945615780403,0.208604518046024
"240","VCL",1535,1387,7.11128602359221,5.80503548607426e-07,2.54057291806929,1.54990785677867e-17
"241","DEPDC1B",25,9,0,1,0,1
"242","DAPK2",2385,2926,1.63331272992297,0.278475393709347,4.44359395795674,1.67247919533057e-88
"243","NSMAF",1750,1061,1.85280208398571,0.206457149431941,4.20110920084043,2.39561221423964e-39
"244","ADSS",4138,3440,0.260656578074572,0.0549483475650196,1.86946161265752,1.75903980630443e-14
"245","TIMP2",2482,1641,0.720025745461059,0.794562183604301,0.61807286336519,0.00151368829384398
"246","RFC1",4926,5086,0.993192821249445,1,3.26980236673036,4.57053849258604e-69
"247","TBC1D23",4744,4713,0.597239455320408,0.325115074828376,2.52101190908745,2.72335256903358e-39
"248","CUL3",4345,4107,0.245631816152636,0.0369097016780463,0.932438742388627,0.464025133470624
"249","MYOM2",2223,1976,0.257538604211187,0.262415016392459,0.97854336938565,0.905764078830984
"250","OTC",2,0,0,1,0,1
"1","UBXN8",3978,3700,0.420008093452747,0.196410518983353,3.43708691059021,2.61643340840492e-65
"2","PPP2CB",2825,2902,0.19733970311074,0.0824912637777651,2.98691382611455,4.69681093438651e-43
"3","ERICH1",768,1091,0.791973069084437,1,1.28888111398747,0.0720929214468257
"4","NEFM",4842,4690,0.215323241438541,0.016309477569695,0.789127300632256,0.00620267582743687
"5","TUSC3",4623,3163,0.350708992180528,0.070702765987902,1.00157115029877,0.961725776655287
"6","NEFL",5222,4480,0.301464142436429,0.0334096189793482,0.753527284992699,0.00155895733381608
"7","ARHGEF10",3973,4914,3.04856233449567,0.00101849251196769,4.5247535381284,2.20361787749445e-114
"8","KLHDC4",2168,1809,0.26483091111889,0.258939285764118,2.41478366623697,6.21401807908374e-19
"9","MCM4",3522,1931,0.314771601145693,0.113813668781048,0.726411560836832,0.0166318618880162
"10","KCTD9",3776,3630,0.2903956774825,0.0790421165645368,0.960669510921549,0.683681377841019
"11","FGL1",841,1160,1.47986188812545,0.401286760088446,6.29845167404831,5.22622410576226e-80
"12","ASAH1",4459,4407,1.69355786048883,0.150167648149602,3.66901210099321,1.61473672278136e-79
"13","BNIP3L",4724,4227,0.600500407282513,0.422732496504777,2.03730301972034,1.82281030589432e-21
"14","MAN2B1",2710,2808,7.77462052016902,1.34892476523072e-09,3.19224018959194,3.24177785357742e-48
"15","KCNN4",19,10,34.6929928881259,0.0305922249624341,0,1
"16","TULP2",261,464,0,1,1.29043137616575,0.234346770657288
"17","NUCB1",4504,3752,0.785001878516242,0.68835599252879,0.922204237074621,0.396090193298616
"18","DHDH",13,0,0,1,0,1
"19","GYS1",2711,2637,1.41565165654316,0.444962432342188,1.66483701645139,3.0515810112031e-08
"20","MAP4K1",642,657,1.95555921560571,0.282333165442617,1.94077200801755,5.22636052561814e-05
"21","ECH1",2820,2795,0.6243541900106,0.620227384013627,1.79959533933888,3.22554558971725e-11
"22","HNRNPL",1203,485,0,0.265359063657353,1.56805166807607,0.0264814064002864
"23","NFKBIB",1138,1139,0,0.262942717876902,3.19067074932297,8.40387477045237e-25
"24","TUBB4A",4491,4226,0.49727469299409,0.222857490736678,0.823688601987279,0.0332391934614394
"25","SARS2",5076,4076,0.813109253820231,0.845790235384574,0.904468289482532,0.280178547638765
"26","SNRNP70",3050,3017,0.181314662832853,0.0555607074464402,3.61559752913755,8.3068074760898e-64
"27","CLPTM1",5073,5023,0.813909451624341,0.845746766847851,0.92753257020301,0.381390079637238
"28","RELB",1920,1524,0.302076348391058,0.37018306191636,1.07063137958173,0.592820873878968
"29","CLASRP",3192,3155,0.7434620265408,0.813843919093511,2.73418638985571,1.4632159347968e-37
"30","LIN7B",4516,2474,0.360852364981074,0.101083220724607,0.979574158303293,0.914775038076303
"31","PPP1R37",5153,5012,0.420074660237183,0.11988815213848,0.893574171222039,0.175948065755061
"32","FCGRT",3771,3739,7.80263356928505,2.15420981545828e-10,5.18903625374722,3.44106613681339e-125
"33","PIH1D1",3920,2188,0.135468512015435,0.0159778764002431,1.19377522615084,0.100874595691345
"34","ARHGEF18",3948,3819,0.275547187967692,0.0545950070872898,1.44472725060498,7.13783614359598e-06
"35","PPP1R13L",1814,2527,4.69701041335596,0.000115982630613317,3.09969421380548,2.03524530397211e-42
"36","PEX11G",1977,1631,0.923466970842985,1,2.7267474966093,2.41152060996813e-23
"37","ERCC2",5175,4985,0.198333124612576,0.010732275014065,0.869587023745826,0.0938682760035789
"38","DOT1L",3859,3653,0.596102017839949,0.393058172390295,1.92612307618577,1.47439974440271e-16
