gene	set
C5AR1	complement_and_C4A_PPI_InWeb_86genes
CD46	complement_and_C4A_PPI_InWeb_86genes
CD55	complement_and_C4A_PPI_InWeb_86genes
CD59	complement_and_C4A_PPI_InWeb_86genes
CD93	complement_and_C4A_PPI_InWeb_86genes
CFH	complement_and_C4A_PPI_InWeb_86genes
CFHR1	complement_and_C4A_PPI_InWeb_86genes
CFHR2	complement_and_C4A_PPI_InWeb_86genes
CFHR3	complement_and_C4A_PPI_InWeb_86genes
CFHR4	complement_and_C4A_PPI_InWeb_86genes
CFHR5	complement_and_C4A_PPI_InWeb_86genes
CFI	complement_and_C4A_PPI_InWeb_86genes
CLU	complement_and_C4A_PPI_InWeb_86genes
CR1	complement_and_C4A_PPI_InWeb_86genes
CR2	complement_and_C4A_PPI_InWeb_86genes
CSMD1	complement_and_C4A_PPI_InWeb_86genes
CSMD2	complement_and_C4A_PPI_InWeb_86genes
CSMD3	complement_and_C4A_PPI_InWeb_86genes
ELANE	complement_and_C4A_PPI_InWeb_86genes
F2	complement_and_C4A_PPI_InWeb_86genes
ITGAM	complement_and_C4A_PPI_InWeb_86genes
ITGAX	complement_and_C4A_PPI_InWeb_86genes
ITGB2	complement_and_C4A_PPI_InWeb_86genes
SERPING1	complement_and_C4A_PPI_InWeb_86genes
VSIG4	complement_and_C4A_PPI_InWeb_86genes
VTN	complement_and_C4A_PPI_InWeb_86genes
C5AR2	complement_and_C4A_PPI_InWeb_86genes
ALB	complement_and_C4A_PPI_InWeb_86genes
APC	complement_and_C4A_PPI_InWeb_86genes
C4B_2	complement_and_C4A_PPI_InWeb_86genes
CST3	complement_and_C4A_PPI_InWeb_86genes
FN1	complement_and_C4A_PPI_InWeb_86genes
GDPD1	complement_and_C4A_PPI_InWeb_86genes
HNF4A	complement_and_C4A_PPI_InWeb_86genes
IGHG1	complement_and_C4A_PPI_InWeb_86genes
IGHG2	complement_and_C4A_PPI_InWeb_86genes
IGHG4	complement_and_C4A_PPI_InWeb_86genes
IGKC	complement_and_C4A_PPI_InWeb_86genes
IGKV3-11	complement_and_C4A_PPI_InWeb_86genes
IGKV3-20	complement_and_C4A_PPI_InWeb_86genes
IGKV4-1	complement_and_C4A_PPI_InWeb_86genes
IGKV5-2	complement_and_C4A_PPI_InWeb_86genes
IGLL5	complement_and_C4A_PPI_InWeb_86genes
KIF22	complement_and_C4A_PPI_InWeb_86genes
LGALS8	complement_and_C4A_PPI_InWeb_86genes
MAPK1	complement_and_C4A_PPI_InWeb_86genes
MAPK3	complement_and_C4A_PPI_InWeb_86genes
MCM2	complement_and_C4A_PPI_InWeb_86genes
MYC	complement_and_C4A_PPI_InWeb_86genes
NAA10	complement_and_C4A_PPI_InWeb_86genes
SCN2B	complement_and_C4A_PPI_InWeb_86genes
TAF9	complement_and_C4A_PPI_InWeb_86genes
TMEM89	complement_and_C4A_PPI_InWeb_86genes
TOR1AIP1	complement_and_C4A_PPI_InWeb_86genes
USO1	complement_and_C4A_PPI_InWeb_86genes
ZBTB7A	complement_and_C4A_PPI_InWeb_86genes
C1QA	complement_and_complement_PPI_InWeb_highconf_545genes
C1QB	complement_and_complement_PPI_InWeb_highconf_545genes
C1QC	complement_and_complement_PPI_InWeb_highconf_545genes
C1R	complement_and_complement_PPI_InWeb_highconf_545genes
C1S	complement_and_complement_PPI_InWeb_highconf_545genes
C2	complement_and_complement_PPI_InWeb_highconf_545genes
C3	complement_and_complement_PPI_InWeb_highconf_545genes
C4A	complement_and_complement_PPI_InWeb_highconf_545genes
C4B	complement_and_complement_PPI_InWeb_highconf_545genes
C5	complement_and_complement_PPI_InWeb_highconf_545genes
C6	complement_and_complement_PPI_InWeb_highconf_545genes
C7	complement_and_complement_PPI_InWeb_highconf_545genes
C8A	complement_and_complement_PPI_InWeb_highconf_545genes
C8B	complement_and_complement_PPI_InWeb_highconf_545genes
C8G	complement_and_complement_PPI_InWeb_highconf_545genes
C9	complement_and_complement_PPI_InWeb_highconf_545genes
CFB	complement_and_complement_PPI_InWeb_highconf_545genes
CFD	complement_and_complement_PPI_InWeb_highconf_545genes
CFP	complement_and_complement_PPI_InWeb_highconf_545genes
COLEC10	complement_and_complement_PPI_InWeb_highconf_545genes
COLEC11	complement_and_complement_PPI_InWeb_highconf_545genes
FCN1	complement_and_complement_PPI_InWeb_highconf_545genes
FCN2	complement_and_complement_PPI_InWeb_highconf_545genes
FCN3	complement_and_complement_PPI_InWeb_highconf_545genes
MASP1	complement_and_complement_PPI_InWeb_highconf_545genes
MASP2	complement_and_complement_PPI_InWeb_highconf_545genes
MBL2	complement_and_complement_PPI_InWeb_highconf_545genes
C3AR1	complement_and_complement_PPI_InWeb_highconf_545genes
C4BPA	complement_and_complement_PPI_InWeb_highconf_545genes
C4BPB	complement_and_complement_PPI_InWeb_highconf_545genes
C5AR1	complement_and_complement_PPI_InWeb_highconf_545genes
CD46	complement_and_complement_PPI_InWeb_highconf_545genes
CD55	complement_and_complement_PPI_InWeb_highconf_545genes
CD59	complement_and_complement_PPI_InWeb_highconf_545genes
CD93	complement_and_complement_PPI_InWeb_highconf_545genes
CFH	complement_and_complement_PPI_InWeb_highconf_545genes
CFHR1	complement_and_complement_PPI_InWeb_highconf_545genes
CFHR2	complement_and_complement_PPI_InWeb_highconf_545genes
CFHR3	complement_and_complement_PPI_InWeb_highconf_545genes
CFHR4	complement_and_complement_PPI_InWeb_highconf_545genes
CFHR5	complement_and_complement_PPI_InWeb_highconf_545genes
CFI	complement_and_complement_PPI_InWeb_highconf_545genes
CLU	complement_and_complement_PPI_InWeb_highconf_545genes
CR1	complement_and_complement_PPI_InWeb_highconf_545genes
CR2	complement_and_complement_PPI_InWeb_highconf_545genes
CSMD1	complement_and_complement_PPI_InWeb_highconf_545genes
CSMD2	complement_and_complement_PPI_InWeb_highconf_545genes
CSMD3	complement_and_complement_PPI_InWeb_highconf_545genes
ELANE	complement_and_complement_PPI_InWeb_highconf_545genes
F2	complement_and_complement_PPI_InWeb_highconf_545genes
ITGAM	complement_and_complement_PPI_InWeb_highconf_545genes
ITGAX	complement_and_complement_PPI_InWeb_highconf_545genes
ITGB2	complement_and_complement_PPI_InWeb_highconf_545genes
SERPING1	complement_and_complement_PPI_InWeb_highconf_545genes
VSIG4	complement_and_complement_PPI_InWeb_highconf_545genes
VTN	complement_and_complement_PPI_InWeb_highconf_545genes
C5AR2	complement_and_complement_PPI_InWeb_highconf_545genes
ACKR3	complement_and_complement_PPI_InWeb_highconf_545genes
ADORA1	complement_and_complement_PPI_InWeb_highconf_545genes
ADRA1A	complement_and_complement_PPI_InWeb_highconf_545genes
ADRA1B	complement_and_complement_PPI_InWeb_highconf_545genes
ADRA1D	complement_and_complement_PPI_InWeb_highconf_545genes
ADRA2A	complement_and_complement_PPI_InWeb_highconf_545genes
ADRA2B	complement_and_complement_PPI_InWeb_highconf_545genes
ADRA2C	complement_and_complement_PPI_InWeb_highconf_545genes
AGT	complement_and_complement_PPI_InWeb_highconf_545genes
AGTR1	complement_and_complement_PPI_InWeb_highconf_545genes
AGTR2	complement_and_complement_PPI_InWeb_highconf_545genes
ANK1	complement_and_complement_PPI_InWeb_highconf_545genes
ANK2	complement_and_complement_PPI_InWeb_highconf_545genes
ANK3	complement_and_complement_PPI_InWeb_highconf_545genes
ANXA1	complement_and_complement_PPI_InWeb_highconf_545genes
AP2A1	complement_and_complement_PPI_InWeb_highconf_545genes
AP2B1	complement_and_complement_PPI_InWeb_highconf_545genes
AP2S1	complement_and_complement_PPI_InWeb_highconf_545genes
APLN	complement_and_complement_PPI_InWeb_highconf_545genes
APLNR	complement_and_complement_PPI_InWeb_highconf_545genes
APP	complement_and_complement_PPI_InWeb_highconf_545genes
ARCN1	complement_and_complement_PPI_InWeb_highconf_545genes
AREG	complement_and_complement_PPI_InWeb_highconf_545genes
ARF4	complement_and_complement_PPI_InWeb_highconf_545genes
ARFGAP1	complement_and_complement_PPI_InWeb_highconf_545genes
ARFGAP2	complement_and_complement_PPI_InWeb_highconf_545genes
ARFGAP3	complement_and_complement_PPI_InWeb_highconf_545genes
AVP	complement_and_complement_PPI_InWeb_highconf_545genes
AVPR1A	complement_and_complement_PPI_InWeb_highconf_545genes
AVPR1B	complement_and_complement_PPI_InWeb_highconf_545genes
B3GALTL	complement_and_complement_PPI_InWeb_highconf_545genes
BAX	complement_and_complement_PPI_InWeb_highconf_545genes
BDKRB1	complement_and_complement_PPI_InWeb_highconf_545genes
BDKRB2	complement_and_complement_PPI_InWeb_highconf_545genes
BET1	complement_and_complement_PPI_InWeb_highconf_545genes
BET1L	complement_and_complement_PPI_InWeb_highconf_545genes
C4B_2	complement_and_complement_PPI_InWeb_highconf_545genes
CASR	complement_and_complement_PPI_InWeb_highconf_545genes
CBLB	complement_and_complement_PPI_InWeb_highconf_545genes
CCK	complement_and_complement_PPI_InWeb_highconf_545genes
CCKAR	complement_and_complement_PPI_InWeb_highconf_545genes
CCKBR	complement_and_complement_PPI_InWeb_highconf_545genes
CCL16	complement_and_complement_PPI_InWeb_highconf_545genes
CCL19	complement_and_complement_PPI_InWeb_highconf_545genes
CCL20	complement_and_complement_PPI_InWeb_highconf_545genes
CCL21	complement_and_complement_PPI_InWeb_highconf_545genes
CCL23	complement_and_complement_PPI_InWeb_highconf_545genes
CCL25	complement_and_complement_PPI_InWeb_highconf_545genes
CCL27	complement_and_complement_PPI_InWeb_highconf_545genes
CCL28	complement_and_complement_PPI_InWeb_highconf_545genes
CCL5	complement_and_complement_PPI_InWeb_highconf_545genes
CCR1	complement_and_complement_PPI_InWeb_highconf_545genes
CCR10	complement_and_complement_PPI_InWeb_highconf_545genes
CCR2	complement_and_complement_PPI_InWeb_highconf_545genes
CCR3	complement_and_complement_PPI_InWeb_highconf_545genes
CCR4	complement_and_complement_PPI_InWeb_highconf_545genes
CCR5	complement_and_complement_PPI_InWeb_highconf_545genes
CCR6	complement_and_complement_PPI_InWeb_highconf_545genes
CCR7	complement_and_complement_PPI_InWeb_highconf_545genes
CCR8	complement_and_complement_PPI_InWeb_highconf_545genes
CCR9	complement_and_complement_PPI_InWeb_highconf_545genes
CD14	complement_and_complement_PPI_InWeb_highconf_545genes
CD19	complement_and_complement_PPI_InWeb_highconf_545genes
CD81	complement_and_complement_PPI_InWeb_highconf_545genes
CD97	complement_and_complement_PPI_InWeb_highconf_545genes
CHRM1	complement_and_complement_PPI_InWeb_highconf_545genes
CHRM2	complement_and_complement_PPI_InWeb_highconf_545genes
CHRM3	complement_and_complement_PPI_InWeb_highconf_545genes
CHRM4	complement_and_complement_PPI_InWeb_highconf_545genes
CHRM5	complement_and_complement_PPI_InWeb_highconf_545genes
CNIH1	complement_and_complement_PPI_InWeb_highconf_545genes
CNIH2	complement_and_complement_PPI_InWeb_highconf_545genes
CNIH3	complement_and_complement_PPI_InWeb_highconf_545genes
CNR1	complement_and_complement_PPI_InWeb_highconf_545genes
CNR2	complement_and_complement_PPI_InWeb_highconf_545genes
COG1	complement_and_complement_PPI_InWeb_highconf_545genes
COG2	complement_and_complement_PPI_InWeb_highconf_545genes
COG3	complement_and_complement_PPI_InWeb_highconf_545genes
COG4	complement_and_complement_PPI_InWeb_highconf_545genes
COG5	complement_and_complement_PPI_InWeb_highconf_545genes
COG6	complement_and_complement_PPI_InWeb_highconf_545genes
COG7	complement_and_complement_PPI_InWeb_highconf_545genes
COG8	complement_and_complement_PPI_InWeb_highconf_545genes
COL7A1	complement_and_complement_PPI_InWeb_highconf_545genes
COPA	complement_and_complement_PPI_InWeb_highconf_545genes
COPB1	complement_and_complement_PPI_InWeb_highconf_545genes
COPB2	complement_and_complement_PPI_InWeb_highconf_545genes
COPE	complement_and_complement_PPI_InWeb_highconf_545genes
COPG1	complement_and_complement_PPI_InWeb_highconf_545genes
COPG2	complement_and_complement_PPI_InWeb_highconf_545genes
COPZ1	complement_and_complement_PPI_InWeb_highconf_545genes
COPZ2	complement_and_complement_PPI_InWeb_highconf_545genes
CORT	complement_and_complement_PPI_InWeb_highconf_545genes
CRP	complement_and_complement_PPI_InWeb_highconf_545genes
CSNK1D	complement_and_complement_PPI_InWeb_highconf_545genes
CTSC	complement_and_complement_PPI_InWeb_highconf_545genes
CTSZ	complement_and_complement_PPI_InWeb_highconf_545genes
CXCL1	complement_and_complement_PPI_InWeb_highconf_545genes
CXCL10	complement_and_complement_PPI_InWeb_highconf_545genes
CXCL11	complement_and_complement_PPI_InWeb_highconf_545genes
CXCL12	complement_and_complement_PPI_InWeb_highconf_545genes
CXCL13	complement_and_complement_PPI_InWeb_highconf_545genes
CXCL16	complement_and_complement_PPI_InWeb_highconf_545genes
CXCL2	complement_and_complement_PPI_InWeb_highconf_545genes
CXCL3	complement_and_complement_PPI_InWeb_highconf_545genes
CXCL5	complement_and_complement_PPI_InWeb_highconf_545genes
CXCL6	complement_and_complement_PPI_InWeb_highconf_545genes
CXCL9	complement_and_complement_PPI_InWeb_highconf_545genes
CXCR1	complement_and_complement_PPI_InWeb_highconf_545genes
CXCR2	complement_and_complement_PPI_InWeb_highconf_545genes
CXCR3	complement_and_complement_PPI_InWeb_highconf_545genes
CXCR4	complement_and_complement_PPI_InWeb_highconf_545genes
CXCR5	complement_and_complement_PPI_InWeb_highconf_545genes
CXCR6	complement_and_complement_PPI_InWeb_highconf_545genes
CYSLTR1	complement_and_complement_PPI_InWeb_highconf_545genes
CYSLTR2	complement_and_complement_PPI_InWeb_highconf_545genes
CYTH1	complement_and_complement_PPI_InWeb_highconf_545genes
DCTN1	complement_and_complement_PPI_InWeb_highconf_545genes
