"","i","R","P","Gene","FDR","syngo","ENSG"
"144",144,0.0188677451656963,0.400318372106663,"KLHL21",0.43803127974764,FALSE,"ENSG00000162413"
"145",145,-0.0420932831754123,0.286319436644516,"PHF13",0.35400716307815,FALSE,"ENSG00000116273"
"146",146,-0.0106510258862895,0.44333575427208,"THAP3",0.465946133882259,FALSE,"ENSG00000041988"
"147",147,-0.128875704945516,0.0397700392962411,"DNAJC11",0.0840158874913201,FALSE,"ENSG00000007923"
"148",148,-0.345105513015827,7.96635865476437e-08,"CAMTA1",1.40818760319642e-06,FALSE,"ENSG00000171735"
"149",149,0.139491821919687,0.028500191107393,"RP11-338N10.1",0.0649014252940632,FALSE,"ENSG00000270171"
"150",150,0.0953871305117402,0.0988884465594203,"RP11-338N10.2",0.167691340309661,FALSE,"ENSG00000270035"
"151",151,-0.0245870201758343,0.371020820551137,"RP11-338N10.3",0.418113900995994,FALSE,"ENSG00000269978"
"152",152,0.310190760342582,2.196209640006e-06,"VAMP3",2.32765650934958e-05,TRUE,"ENSG00000049245"
"153",153,0.0713656076726675,0.168604488825834,"RP3-467L1.6",0.246476901037766,FALSE,"ENSG00000269925"
"154",154,0.0385172423451254,0.302895342038158,"PER3",0.367315915084525,FALSE,"ENSG00000049246"
"155",155,0.042603955341186,0.283986750737004,"RP3-467L1.4",0.352237738132345,FALSE,"ENSG00000236266"
"156",156,0.0096337822677952,0.448717127918855,"PARK7",0.469113361006076,FALSE,"ENSG00000116288"
"157",157,-0.0256525039603702,0.365636327727711,"ERRFI1",0.41481137005283,FALSE,"ENSG00000116285"
"158",158,-0.179794031723816,0.00646235551879875,"SLC45A1",0.0196164644919847,FALSE,"ENSG00000162426"
"159",159,-0.0340276430352021,0.324271726777212,"RERE",0.384112118878034,FALSE,"ENSG00000142599"
"160",160,0.294158147179463,8.22323505192573e-06,"ENO1",7.29698152501258e-05,FALSE,"ENSG00000074800"
"161",161,0.430672083887167,7.52156625346165e-13,"SLC2A5",5.45313553375969e-11,FALSE,"ENSG00000142583"
"162",162,0.0752130524376364,0.155767356551037,"GPR157",0.233057036383001,FALSE,"ENSG00000180758"
"163",163,0.370069215329314,4.82244012453039e-09,"H6PD",1.300499014715e-07,FALSE,"ENSG00000049239"
"164",164,0.236035627340354,0.000412512500043065,"SPSB1",0.0019832260948327,FALSE,"ENSG00000171621"
"165",165,0.0796588102108658,0.141732437303063,"SLC25A33",0.217589847355707,FALSE,"ENSG00000171612"
