Gene	Set
EEF1E1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DOK4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RAP2A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GRIA3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PANK2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NAPB	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TMX4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
FLRT3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DSTN	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DACH2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CASD1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MCHR1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RNF112	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CCDC136	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ALDH1A2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
BCL2L2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ITFG1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
OLFM1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ARHGEF9	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TRAF3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KIF3A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PEX11B	C4A-negative-network-PEC_CN2_and_GTEX_CN2
C19orf12	C4A-negative-network-PEC_CN2_and_GTEX_CN2
EFR3A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SNAP25	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SYT4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ATP8A2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DCLK1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RNF128	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RTN3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
LARGE	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MICAL2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
UNC79	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ARL8B	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CNTN6	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CHL1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NAPG	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TIMM17A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NARS	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KIAA1468	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TPGS2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NREP	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RFK	C4A-negative-network-PEC_CN2_and_GTEX_CN2
UBQLN1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ISCA1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
HRK	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CCDC64	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SRPK2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PKIB	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RAB11FIP5	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KIAA0513	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PCNXL2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KCNK1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
EPC2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PLXNC1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
VPS36	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TBC1D4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SUCLA2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NUDT15	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DGKB	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SCN2A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RASSF5	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GAD2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KIAA0368	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RANBP6	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TPMT	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SYTL2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ARHGAP20	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TUBGCP4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PREPL	C4A-negative-network-PEC_CN2_and_GTEX_CN2
LRPPRC	C4A-negative-network-PEC_CN2_and_GTEX_CN2
STAMBPL1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ZNF365	C4A-negative-network-PEC_CN2_and_GTEX_CN2
