gene	set
IGHG1	Complement + C4A PPI InWeb (67 genes)
IGHG2	Complement + C4A PPI InWeb (67 genes)
IGHG4	Complement + C4A PPI InWeb (67 genes)
IGKC	Complement + C4A PPI InWeb (67 genes)
IGKV3-11	Complement + C4A PPI InWeb (67 genes)
IGKV3-20	Complement + C4A PPI InWeb (67 genes)
IGKV4-1	Complement + C4A PPI InWeb (67 genes)
IGKV5-2	Complement + C4A PPI InWeb (67 genes)
IGLL5	Complement + C4A PPI InWeb (67 genes)
C1QA	Complement + Complement PPI InWeb (545 genes)
C1QB	Complement + Complement PPI InWeb (545 genes)
C1QC	Complement + Complement PPI InWeb (545 genes)
C1R	Complement + Complement PPI InWeb (545 genes)
C1S	Complement + Complement PPI InWeb (545 genes)
C2	Complement + Complement PPI InWeb (545 genes)
C3	Complement + Complement PPI InWeb (545 genes)
C4A	Complement + Complement PPI InWeb (545 genes)
C4B	Complement + Complement PPI InWeb (545 genes)
C5	Complement + Complement PPI InWeb (545 genes)
C6	Complement + Complement PPI InWeb (545 genes)
C7	Complement + Complement PPI InWeb (545 genes)
C8A	Complement + Complement PPI InWeb (545 genes)
C8B	Complement + Complement PPI InWeb (545 genes)
C8G	Complement + Complement PPI InWeb (545 genes)
C9	Complement + Complement PPI InWeb (545 genes)
CFB	Complement + Complement PPI InWeb (545 genes)
CFD	Complement + Complement PPI InWeb (545 genes)
CFP	Complement + Complement PPI InWeb (545 genes)
COLEC10	Complement + Complement PPI InWeb (545 genes)
COLEC11	Complement + Complement PPI InWeb (545 genes)
FCN1	Complement + Complement PPI InWeb (545 genes)
FCN2	Complement + Complement PPI InWeb (545 genes)
FCN3	Complement + Complement PPI InWeb (545 genes)
MASP1	Complement + Complement PPI InWeb (545 genes)
MASP2	Complement + Complement PPI InWeb (545 genes)
MBL2	Complement + Complement PPI InWeb (545 genes)
C3AR1	Complement + Complement PPI InWeb (545 genes)
C4BPA	Complement + Complement PPI InWeb (545 genes)
C4BPB	Complement + Complement PPI InWeb (545 genes)
C5AR1	Complement + Complement PPI InWeb (545 genes)
CD46	Complement + Complement PPI InWeb (545 genes)
CD55	Complement + Complement PPI InWeb (545 genes)
CD59	Complement + Complement PPI InWeb (545 genes)
CD93	Complement + Complement PPI InWeb (545 genes)
CFH	Complement + Complement PPI InWeb (545 genes)
CFHR1	Complement + Complement PPI InWeb (545 genes)
CFHR2	Complement + Complement PPI InWeb (545 genes)
CFHR3	Complement + Complement PPI InWeb (545 genes)
CFHR4	Complement + Complement PPI InWeb (545 genes)
CFHR5	Complement + Complement PPI InWeb (545 genes)
CFI	Complement + Complement PPI InWeb (545 genes)
CLU	Complement + Complement PPI InWeb (545 genes)
CR1	Complement + Complement PPI InWeb (545 genes)
CR2	Complement + Complement PPI InWeb (545 genes)
CSMD1	Complement + Complement PPI InWeb (545 genes)
CSMD2	Complement + Complement PPI InWeb (545 genes)
CSMD3	Complement + Complement PPI InWeb (545 genes)
ELANE	Complement + Complement PPI InWeb (545 genes)
F2	Complement + Complement PPI InWeb (545 genes)
ITGAM	Complement + Complement PPI InWeb (545 genes)
ITGAX	Complement + Complement PPI InWeb (545 genes)
ITGB2	Complement + Complement PPI InWeb (545 genes)
SERPING1	Complement + Complement PPI InWeb (545 genes)
VSIG4	Complement + Complement PPI InWeb (545 genes)
VTN	Complement + Complement PPI InWeb (545 genes)
C5AR2	Complement + Complement PPI InWeb (545 genes)
ACKR3	Complement + Complement PPI InWeb (545 genes)
ADORA1	Complement + Complement PPI InWeb (545 genes)
ADRA1A	Complement + Complement PPI InWeb (545 genes)
ADRA1B	Complement + Complement PPI InWeb (545 genes)
ADRA1D	Complement + Complement PPI InWeb (545 genes)
ADRA2A	Complement + Complement PPI InWeb (545 genes)
ADRA2B	Complement + Complement PPI InWeb (545 genes)
ADRA2C	Complement + Complement PPI InWeb (545 genes)
AGT	Complement + Complement PPI InWeb (545 genes)
AGTR1	Complement + Complement PPI InWeb (545 genes)
AGTR2	Complement + Complement PPI InWeb (545 genes)
ANK1	Complement + Complement PPI InWeb (545 genes)
ANK2	Complement + Complement PPI InWeb (545 genes)
ANK3	Complement + Complement PPI InWeb (545 genes)
ANXA1	Complement + Complement PPI InWeb (545 genes)
AP2A1	Complement + Complement PPI InWeb (545 genes)
AP2B1	Complement + Complement PPI InWeb (545 genes)
AP2S1	Complement + Complement PPI InWeb (545 genes)
APLN	Complement + Complement PPI InWeb (545 genes)
APLNR	Complement + Complement PPI InWeb (545 genes)
APP	Complement + Complement PPI InWeb (545 genes)
ARCN1	Complement + Complement PPI InWeb (545 genes)
AREG	Complement + Complement PPI InWeb (545 genes)
ARF4	Complement + Complement PPI InWeb (545 genes)
ARFGAP1	Complement + Complement PPI InWeb (545 genes)
ARFGAP2	Complement + Complement PPI InWeb (545 genes)
ARFGAP3	Complement + Complement PPI InWeb (545 genes)
AVP	Complement + Complement PPI InWeb (545 genes)
AVPR1A	Complement + Complement PPI InWeb (545 genes)
AVPR1B	Complement + Complement PPI InWeb (545 genes)
B3GALTL	Complement + Complement PPI InWeb (545 genes)
BAX	Complement + Complement PPI InWeb (545 genes)
BDKRB1	Complement + Complement PPI InWeb (545 genes)
