"","gene","Seed","Gene","R","P","FDR"
"cor18741","MAPRE1P3","ENSG00000244731","ENSG00000233204",-1.09863956009093e-05,0.99989535847452,0.999926332298974
"cor18742","AC108479.2","ENSG00000244731","ENSG00000233205",0.0860601654490921,0.303365364269899,0.568732826497846
"cor18743","LINC00642","ENSG00000244731","ENSG00000233208",-0.268442737834304,0.00109604812289559,0.0160874398174892
"cor18744","RP11-414C16.1","ENSG00000244731","ENSG00000233216",0.0199355367362849,0.811879850087778,0.91951449031781
"cor18745","SNX18P16","ENSG00000244731","ENSG00000233218",-0.0966258610190543,0.247613027583064,0.50878514056665
"cor18746","LINC00167","ENSG00000244731","ENSG00000233220",0.0480477028073812,0.566038860637759,0.781886289223029
"cor18747","AC133785.1","ENSG00000244731","ENSG00000233221",0.320735603408348,8.38334815804265e-05,0.00265771728690518
"cor18748","AC113189.5","ENSG00000244731","ENSG00000233223",0.0663632137240236,0.427732803309073,0.681748509314362
"cor18749","HIST1H2AM","ENSG00000244731","ENSG00000233224",0.204418442024479,0.0136509066034553,0.0860354335039721
"cor18750","AC004987.9","ENSG00000244731","ENSG00000233225",-0.0340146755311924,0.684622496916584,0.852643645108869
"cor18751","LPCAT2BP","ENSG00000244731","ENSG00000233228",-0.0819080410501159,0.327375590752513,0.593207148204111
"cor18752","AC079807.2","ENSG00000244731","ENSG00000233230",-0.0642666509641537,0.442505375951547,0.694038432408882
"cor18753","HNRNPA1P49","ENSG00000244731","ENSG00000233231",0.142094932942779,0.0882126218702813,0.280967883846346
"cor18754","NPIPB7","ENSG00000244731","ENSG00000233232",0.102910833142757,0.218039371607189,0.472923231827291
"cor18755","LINC00472","ENSG00000244731","ENSG00000233237",0.128363156339302,0.123879593907122,0.344096632542532
"cor18756","CYP4F59P","ENSG00000244731","ENSG00000233244",-0.0856350405847781,0.305769077453041,0.57120098224236
"cor18757","GS1-257G1.1","ENSG00000244731","ENSG00000233247",-0.0521499873316823,0.533312126029601,0.760058425682059
"cor18758","AC007743.1","ENSG00000244731","ENSG00000233251",-0.120296558136787,0.149510009269734,0.382554450403863
